Number of Outlets,Tzone,Cue Viewing Time,Failure Rate,Failure Rate (Only Temporally),Period
2,200,0,0.962962963,0.962962963,1000
4,200,0,1,1,1000
4,125,0,1,1,1000
4,50,350,0.965517241,0.965517241,1000
1,125,0,0.448275862,0.448275862,1000
2,200,350,0,0,2000
1,125,0,0.827586207,0.827586207,2000
4,200,0,1,1,2000
4,200,350,0.071428571,0.071428571,2000
2,125,175,0.357142857,0.357142857,1000
4,125,175,0.925925926,0.925925926,1000
2,50,175,1,1,2000
1,125,175,0.1,0.1,2000
1,200,175,0.034482759,0.034482759,2000
1,50,175,0.896551724,0.896551724,2000
4,50,350,0.933333333,0.933333333,2000
2,50,0,1,1,1000
4,50,0,1,1,2000
1,125,175,0.1,0.1,1000
1,50,350,0.233333333,0.233333333,1000
2,200,175,0.035714286,0.035714286,1000
4,50,175,1,1,1000
4,125,175,1,0.931034483,2000
4,125,350,0.066666667,0.066666667,1000
1,125,350,0,0,1000
1,200,175,0.1,0.1,1000
1,200,350,0.033333333,0.033333333,1000
2,125,0,0.933333333,0.933333333,2000
4,200,175,0.285714286,0.285714286,1000
1,200,0,0.166666667,0.166666667,1000
1,125,350,0.1,0.1,2000
2,50,350,0.5,0.5,2000
4,125,0,0.966666667,0.933333333,2000
1,50,0,0.821428571,0.821428571,2000
2,125,175,0.366666667,0.366666667,2000
2,200,0,0.931034483,0.931034483,2000
4,125,350,0.137931034,0.068965517,2000
1,50,0,0.7,0.7,1000
2,50,175,1,0.966666667,1000
4,50,175,1,1,2000
2,50,0,1,1,2000
4,50,0,1,1,1000
2,125,350,0.033333333,0.033333333,2000
1,50,175,0.5,0.5,1000
1,200,0,0.666666667,0.666666667,2000
2,125,0,0.965517241,0.965517241,1000
1,200,350,0.033333333,0.033333333,2000
4,200,175,0.222222222,0.148148148,2000
1,50,350,0.366666667,0.366666667,2000
2,125,350,0,0,1000
4,200,350,0.033333333,0,1000
2,50,350,0.333333333,0.333333333,1000
2,200,175,0.033333333,0,2000
1,200,175,0.317073171,0.317073171,1000
1,125,350,0.033333333,0.033333333,1000
4,50,175,0.966666667,0.966666667,1000
4,200,0,1,1,1000
2,200,350,0.09375,0.09375,1000
2,200,0,0.903225806,0.870967742,2000
1,50,0,0.64516129,0.64516129,2000
4,50,0,1,1,2000
2,125,0,0.970588235,0.941176471,1000
1,200,175,0.033333333,0.033333333,2000
4,125,0,0.966666667,0.966666667,2000
1,50,175,0.8,0.8,1000
2,200,175,0.133333333,0.066666667,2000
4,125,350,0.172413793,0.103448276,2000
1,125,175,0.129032258,0.064516129,1000
2,50,350,0.310344828,0.310344828,1000
2,125,350,0.033333333,0.033333333,2000
1,125,175,0.1,0.1,2000
2,125,175,0.5625,0.53125,2000
2,125,0,1,0.96875,2000
4,50,350,0.6,0.566666667,2000
4,125,0,1,1,1000
4,200,350,0.066666667,0.066666667,2000
2,50,175,0.90625,0.84375,1000
4,200,175,0.433333333,0.333333333,2000
1,125,350,0.066666667,0.066666667,2000
1,50,0,0.35483871,0.35483871,1000
1,125,0,0.322580645,0.322580645,1000
4,50,175,0.909090909,0.909090909,2000
1,200,350,0.236842105,0.236842105,2000
2,50,0,0.763157895,0.763157895,1000
2,50,175,0.966666667,0.966666667,2000
1,50,350,0.333333333,0.333333333,2000
1,200,0,0.096774194,0.096774194,1000
1,200,0,0.392857143,0.392857143,2000
2,125,350,0.033333333,0.033333333,1000
4,125,350,0.1,0.1,1000
1,200,350,0.066666667,0.066666667,1000
4,125,175,0.848484848,0.757575758,1000
2,50,350,0.451612903,0.451612903,2000
1,125,0,0.4375,0.4375,2000
4,50,0,1,1,1000
4,200,350,0.205882353,0.147058824,1000
1,50,175,0.666666667,0.666666667,2000
1,50,350,0.266666667,0.266666667,1000
2,200,0,0.848484848,0.787878788,1000
4,200,175,0.515151515,0.454545455,1000
4,50,350,0.7,0.666666667,1000
2,200,350,0.066666667,0.033333333,2000
2,50,0,0.935483871,0.935483871,2000
2,125,175,0.677419355,0.548387097,1000
4,125,175,0.848484848,0.787878788,2000
4,200,0,1,0.90625,2000
2,200,175,0.15625,0.09375,1000
